"","X","star","population","homi","WiFi","RestaurantsAttire","Alcohol","NoiseLevel","OutdoorSeating","RestaurantsDelivery","GoodForKids","RestaurantsPriceRange2","Smoking"
"48",48,4.5,2586,38.66976025,NA,NA,NA,NA,NA,"None",NA,NA,NA
"49",49,4.5,3478,287.5215641,NA,NA,NA,NA,"TRUE","",NA,NA,NA
"50",50,4,3142,159.1343094,"free","casual","none","loud","FALSE","TRUE",TRUE,2,NA
"51",51,2.5,3611,553.8631958,NA,NA,NA,NA,NA,"",NA,NA,NA
"52",52,3,3609,27.70850651,"free","casual","full_bar","average","TRUE","FALSE",TRUE,2,"no"
"53",53,4,2682,74.57121551,"free",NA,NA,NA,"TRUE","TRUE",NA,2,NA
"54",54,4,2603,38.41721091,"free","dressy","full_bar","average","TRUE","TRUE",FALSE,2,"no"
"55",55,5,2504,479.2332268,"no","casual","none",NA,"TRUE","TRUE",FALSE,1,NA
"56",56,4.5,2125,470.5882353,NA,"casual",NA,NA,"FALSE","FALSE",NA,NA,NA
"57",57,4,2631,988.2174078,"no","casual","none",NA,"FALSE","TRUE",TRUE,1,NA
"58",58,3.5,2631,988.2174078,"no","casual","none","average","FALSE","TRUE",TRUE,2,NA
"59",59,4,2603,38.41721091,"no","casual","full_bar","average","TRUE","TRUE",TRUE,2,NA
"60",60,4,3609,27.70850651,"no",NA,"full_bar","average","TRUE","TRUE",NA,NA,NA
"61",61,3.5,3609,27.70850651,"free","dressy","none","average","TRUE","TRUE",FALSE,2,NA
"62",62,3,4998,40.0160064,NA,"casual","none",NA,"TRUE","TRUE",FALSE,2,NA
"63",63,4,4998,40.0160064,"no","casual","full_bar","average","FALSE","TRUE",TRUE,2,NA
"64",64,3,2682,74.57121551,"free","casual","none","average","FALSE","TRUE",TRUE,2,NA
"65",65,4,7662,65.25711303,"no","casual","full_bar","average","TRUE","TRUE",FALSE,3,NA
"66",66,3.5,2682,74.57121551,"free","casual","none","average","TRUE","TRUE",TRUE,2,NA
"67",67,4,7662,65.25711303,NA,NA,NA,NA,NA,"",NA,NA,NA
"68",68,4.5,2125,470.5882353,"free","casual","full_bar","average","TRUE","TRUE",TRUE,2,NA
"69",69,3.5,2803,392.436675,"no",NA,"none",NA,NA,"FALSE",NA,1,NA
"70",70,1.5,6755,88.823094,"no","casual","none","quiet","FALSE","TRUE",TRUE,1,NA
"71",71,4.5,3609,27.70850651,NA,"casual","full_bar","average","TRUE","FALSE",NA,3,"no"
"72",72,3,6599,45.46143355,"no","casual","none","average","FALSE","TRUE",TRUE,2,NA
"73",73,3,3675,244.8979592,"no","casual","none","quiet","FALSE","TRUE",TRUE,1,NA
"74",74,4,3478,287.5215641,"free",NA,NA,NA,NA,"TRUE",NA,NA,NA
"75",75,4.5,3609,27.70850651,"no","casual","none","average","TRUE","TRUE",FALSE,3,NA
"76",76,4,2542,354.0519276,"no","casual","none","average","TRUE","FALSE",FALSE,2,NA
"77",77,4.5,4437,563.4437683,"free",NA,"none",NA,"TRUE","TRUE",NA,NA,NA
"78",78,4.5,3570,280.1120448,"free",NA,"full_bar","average","TRUE","FALSE",NA,NA,NA
"79",79,4,2603,38.41721091,"no","casual","full_bar","average","None","TRUE",FALSE,2,NA
"80",80,4,2125,470.5882353,"free","casual","none","average","None","None",TRUE,2,NA
"81",81,3.5,3142,159.1343094,"free","casual","full_bar","average","None","TRUE",TRUE,2,"no"
"82",82,2,3478,287.5215641,"no","casual","full_bar","average","FALSE","FALSE",TRUE,2,NA
"83",83,4,6599,45.46143355,NA,"casual","beer_and_wine","average","FALSE","TRUE",TRUE,1,NA
"84",84,3.5,5507,54.4761213,"no","casual","full_bar","average","TRUE","TRUE",TRUE,2,NA
"85",85,2.5,2741,72.96607078,"no","casual","none","very_loud","FALSE","TRUE",TRUE,1,NA
"86",86,4.5,2873,104.4204664,"free",NA,"full_bar","average","TRUE","FALSE",NA,NA,NA
"87",87,3,NA,NA,"free","casual","none","average","TRUE","TRUE",TRUE,1,NA
"88",88,4,3169,220.8898706,"free","casual","none","average","FALSE","TRUE",TRUE,1,NA
"89",89,3.5,3609,27.70850651,"no","casual","none","average","TRUE","TRUE",FALSE,2,NA
"90",90,3.5,2603,38.41721091,"free","casual","full_bar","average","TRUE","TRUE",FALSE,2,"no"
"91",91,4.5,2682,74.57121551,"no",NA,"full_bar",NA,NA,"FALSE",FALSE,3,NA
"92",92,4.5,2884,312.0665742,"no","casual","none","average","TRUE","FALSE",TRUE,1,NA
"93",93,4,2884,312.0665742,"free","casual","full_bar","average","FALSE","TRUE",FALSE,2,NA
"94",94,4,2682,74.57121551,"no","casual","full_bar","average","FALSE","TRUE",TRUE,2,NA
"95",95,3.5,3609,27.70850651,"no","casual","none","loud","TRUE","TRUE",FALSE,2,NA
"96",96,3.5,2125,470.5882353,"no","casual","none","average","TRUE","FALSE",FALSE,3,NA
"97",97,4.5,2125,470.5882353,"free","casual","beer_and_wine","average","TRUE","TRUE",FALSE,3,"no"
"98",98,3,3201,406.1230865,"no","casual","full_bar","loud","TRUE","TRUE",TRUE,2,NA
"99",99,4,74,0,NA,"casual","none","average","TRUE","TRUE",TRUE,1,NA
"100",100,3,2873,104.4204664,"free",NA,"none",NA,"TRUE","TRUE",NA,NA,NA
"101",101,4.5,5766,121.4013181,"free","casual","none","average","FALSE","FALSE",TRUE,2,NA
"102",102,4,3010,465.1162791,"free","casual","full_bar","average","TRUE","TRUE",FALSE,3,"no"
"103",103,4.5,2125,470.5882353,"free","casual","none","quiet","FALSE","TRUE",TRUE,1,NA
"104",104,2.5,6599,45.46143355,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"105",105,4,3609,27.70850651,"no","casual","none","average","None","TRUE",TRUE,1,NA
"106",106,4,2873,104.4204664,"no","casual","full_bar","average","FALSE","FALSE",FALSE,2,NA
"107",107,4.5,2922,68.44626968,"no","casual","none","average","TRUE","FALSE",FALSE,3,NA
"108",108,3.5,2708,147.7104874,"no","casual","beer_and_wine","average","None","TRUE",TRUE,2,NA
"109",109,3,30,0,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"110",110,3,2571,0,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"111",111,3,2094,764.0878701,"free","casual","full_bar","average","TRUE","TRUE",TRUE,2,NA
"112",112,4,5507,54.4761213,"no","casual","none","quiet","FALSE","TRUE",TRUE,1,NA
"113",113,4,2504,479.2332268,"no","casual","none","quiet","TRUE","TRUE",TRUE,1,NA
"114",114,4.5,2708,147.7104874,"no","casual","beer_and_wine","average","TRUE","TRUE",TRUE,2,NA
"115",115,5,4177,143.6437635,"free",NA,"none",NA,"TRUE","None",NA,NA,NA
"116",116,3,2504,479.2332268,"no","casual","none","average","TRUE","TRUE",TRUE,1,NA
"117",117,4,3880,0,"free","casual","beer_and_wine","average","TRUE","TRUE",TRUE,2,NA
"118",118,3.5,3609,27.70850651,"no","casual","full_bar","average","TRUE","TRUE",TRUE,2,NA
"119",119,4,2094,764.0878701,"free","casual","none","average","TRUE","TRUE",TRUE,1,NA
"120",120,4.5,2682,74.57121551,"no","dressy","full_bar","average","TRUE","FALSE",FALSE,2,NA
"121",121,3,2092,382.4091778,"no","casual","none","quiet","FALSE","TRUE",TRUE,1,NA
"122",122,4.5,2873,104.4204664,"no","casual","none","average","None","FALSE",TRUE,2,NA
"123",123,3.5,504,595.2380952,"no","casual","none","quiet","FALSE","FALSE",TRUE,2,NA
"124",124,2.5,2682,74.57121551,NA,NA,"none",NA,NA,"TRUE",TRUE,NA,NA
"125",125,4.5,1781,0,"no","casual","full_bar","average","TRUE","TRUE",FALSE,2,NA
"126",126,4.5,2682,74.57121551,"no","casual","none","average","TRUE","FALSE",FALSE,2,NA
"127",127,4.5,13,0,"no","casual","none","average","FALSE","FALSE",TRUE,1,NA
"128",128,4.5,2125,470.5882353,NA,NA,NA,NA,NA,"",NA,NA,NA
"129",129,4,2659,0,"no","casual","none","average","None","None",TRUE,2,NA
"130",130,4,2125,470.5882353,NA,NA,NA,NA,NA,"",NA,NA,NA
"131",131,4,2125,470.5882353,"no","casual","none","loud","TRUE","TRUE",FALSE,2,NA
"132",132,3.5,13,0,"free","casual","full_bar",NA,"TRUE","TRUE",FALSE,2,"yes"
"133",133,4,3010,465.1162791,"free",NA,"none",NA,"TRUE","TRUE",NA,2,NA
"134",134,3.5,2125,470.5882353,"no","casual","none","loud","FALSE","FALSE",TRUE,2,NA
"135",135,4.5,3142,159.1343094,NA,NA,NA,NA,NA,"",NA,NA,NA
"136",136,2,3570,280.1120448,"free","dressy","full_bar","average","FALSE","FALSE",FALSE,2,NA
"137",137,3,1788,223.7136465,"free","casual","full_bar","quiet","TRUE","TRUE",TRUE,1,NA
"138",138,4,2125,470.5882353,"free","casual","full_bar","average","TRUE","TRUE",FALSE,1,"no"
"139",139,5,2682,74.57121551,"no","casual","none","average","None","TRUE",TRUE,1,NA
"140",140,4.5,74,0,"free","casual","none","loud","FALSE","TRUE",FALSE,2,NA
"141",141,4.5,2682,74.57121551,NA,NA,NA,NA,NA,"TRUE",NA,NA,NA
"142",142,4.5,2094,764.0878701,NA,NA,NA,NA,NA,"TRUE",NA,NA,NA
"143",143,4.5,2125,470.5882353,"free","casual","none","average","FALSE","TRUE",TRUE,1,NA
"144",144,4.5,3609,27.70850651,"free","casual","none","average","TRUE","TRUE",NA,NA,NA
"145",145,3,74,0,"free","casual","none","average","FALSE","TRUE",TRUE,1,NA
"146",146,2.5,2125,470.5882353,NA,NA,NA,NA,NA,"",NA,NA,NA
"147",147,4.5,6313,237.6049422,"no","casual","none",NA,"FALSE","FALSE",TRUE,1,NA
"148",148,2,7016,456.1003421,"paid","casual","full_bar","average","TRUE","TRUE",TRUE,2,NA
"149",149,3,2708,147.7104874,"free","casual","full_bar","loud","TRUE","None",FALSE,2,"no"
"150",150,4.5,3570,280.1120448,"free",NA,"none",NA,"None","TRUE",TRUE,1,NA
"151",151,3.5,703,426.742532,"free","casual","full_bar","loud","FALSE","TRUE",TRUE,2,NA
"152",152,3.5,4324,115.6336725,"no",NA,"full_bar","loud","TRUE","TRUE",NA,2,NA
"153",153,4,5129,175.4728017,"free","casual","none","average","TRUE","TRUE",TRUE,2,NA
"154",154,3.5,3967,781.4469372,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"155",155,3.5,1826,109.5290252,"free","casual","none","average","FALSE","TRUE",TRUE,1,NA
"156",156,4,4259,117.3984503,"no","casual","full_bar","average","TRUE","TRUE",FALSE,2,"outdoor"
"157",157,4,2125,470.5882353,"no","casual","none","average","TRUE","TRUE",TRUE,1,NA
"158",158,4,3609,27.70850651,"free","casual","none","average","TRUE","TRUE",TRUE,2,NA
"159",159,3.5,5105,78.35455436,"free","casual","none","average","FALSE","TRUE",TRUE,2,NA
"160",160,5,13,0,"no",NA,"none","quiet",NA,"TRUE",NA,1,NA
"161",161,3.5,5507,54.4761213,NA,NA,"full_bar",NA,"TRUE","TRUE",NA,NA,NA
"162",162,4.5,2094,764.0878701,"free","casual","none",NA,"TRUE","TRUE",NA,NA,NA
"163",163,4,3478,287.5215641,"free","dressy","full_bar","quiet","TRUE","TRUE",FALSE,3,NA
"164",164,4.5,2742,72.93946025,"no","casual","none","average","TRUE","FALSE",FALSE,2,NA
"165",165,2.5,3010,465.1162791,"no","casual","none","average","FALSE","TRUE",TRUE,2,NA
"166",166,4,3503,28.54695975,"free","casual","none","average","FALSE","TRUE",TRUE,2,NA
"167",167,3.5,2922,68.44626968,"free","casual","beer_and_wine","average","FALSE","TRUE",TRUE,2,NA
"168",168,4.5,2682,74.57121551,"no","casual","none","average","FALSE","TRUE",FALSE,2,NA
"169",169,4.5,2682,74.57121551,"no","casual","none","average","FALSE","TRUE",FALSE,2,NA
"170",170,4.5,4998,40.0160064,"no","casual",NA,"average","FALSE","TRUE",TRUE,1,NA
"171",171,4,3857,285.195748,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"172",172,3.5,3609,27.70850651,"free","casual","full_bar","average","FALSE","TRUE",TRUE,2,NA
"173",173,4.5,2873,104.4204664,"free","casual","none","average","TRUE","TRUE",FALSE,3,NA
"174",174,4,2603,38.41721091,"no","casual","none","average","FALSE","FALSE",TRUE,1,NA
"175",175,3.5,1781,0,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"176",176,4.5,4324,115.6336725,"free","casual","none","average","FALSE","FALSE",TRUE,2,NA
"177",177,3.5,4244,141.3760603,"no","casual","none","very_loud","FALSE","TRUE",TRUE,2,NA
"178",178,4,4259,117.3984503,"no","casual","full_bar","average","TRUE","TRUE",FALSE,3,NA
"179",179,4.5,1781,0,"free",NA,"none",NA,"FALSE","TRUE",NA,2,NA
"180",180,3,6126,293.8295788,"paid","casual",NA,NA,"FALSE","TRUE",TRUE,1,NA
"181",181,4,2873,104.4204664,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"182",182,3,2094,764.0878701,"free",NA,"full_bar",NA,"TRUE","TRUE",NA,NA,"no"
"183",183,4.5,5507,54.4761213,"no","casual","none","average","TRUE","TRUE",FALSE,2,NA
"184",184,4.5,2603,38.41721091,"free",NA,NA,NA,"TRUE","TRUE",NA,NA,NA
"185",185,4,2708,147.7104874,"no","casual","none","average","TRUE","TRUE",TRUE,2,NA
"186",186,3,3478,287.5215641,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"187",187,4,5315,112.8880527,NA,NA,NA,NA,NA,"TRUE",NA,NA,NA
"188",188,4.5,3609,27.70850651,"free","casual","full_bar","average","TRUE","TRUE",TRUE,2,NA
"189",189,4,6942,100.8354941,"no","casual","none","quiet","FALSE","TRUE",TRUE,2,NA
"190",190,3,3609,27.70850651,"no","casual","none","average","TRUE","TRUE",FALSE,2,NA
"191",191,3.5,4405,22.7014756,"no","casual","none","quiet","FALSE","TRUE",TRUE,2,NA
"192",192,4.5,2125,470.5882353,"no",NA,"none",NA,"FALSE","TRUE",NA,NA,NA
"193",193,2.5,2682,74.57121551,"free","casual","none","average","TRUE","TRUE",TRUE,2,NA
"194",194,3.5,2682,74.57121551,"free","casual","none","average","TRUE","TRUE",TRUE,2,NA
"195",195,3.5,2603,38.41721091,"no","casual","none",NA,"TRUE","TRUE",TRUE,1,NA
"196",196,3.5,4338,345.7814661,"free","casual","full_bar","loud","TRUE","TRUE",FALSE,2,"no"
"197",197,4,3478,287.5215641,"free","dressy","full_bar","quiet","TRUE","TRUE",FALSE,3,"no"
"198",198,4,4077,24.5278391,NA,NA,NA,NA,NA,"TRUE",NA,NA,NA
"199",199,4.5,5129,175.4728017,"free","dressy","none","average","TRUE","None",FALSE,3,NA
"200",200,4.5,2742,72.93946025,"free",NA,"beer_and_wine",NA,"TRUE","TRUE",NA,NA,NA
"201",201,3,74,0,"no","casual","none","average","FALSE","TRUE",FALSE,2,NA
"202",202,4.5,2884,312.0665742,"no","casual","none","average","TRUE","TRUE",TRUE,1,NA
"203",203,3,4462,22.41147468,NA,"casual",NA,NA,"TRUE","TRUE",TRUE,1,NA
"204",204,3,2,0,"no","casual","none","quiet","FALSE","TRUE",TRUE,2,NA
"205",205,4,4998,40.0160064,"no","casual","none","loud","FALSE","TRUE",TRUE,2,NA
"206",206,4,5507,54.4761213,"free","casual","none","average","TRUE","TRUE",TRUE,1,NA
"207",207,3.5,7662,65.25711303,"no","casual","full_bar","average","FALSE","TRUE",TRUE,2,NA
"208",208,4,2125,470.5882353,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"209",209,2,4366,137.4255612,"no","casual","none","quiet","FALSE","TRUE",TRUE,1,NA
"210",210,4.5,2586,38.66976025,"no","casual","none","quiet","FALSE","TRUE",TRUE,1,NA
"211",211,3.5,5129,19.49697797,"free","casual","full_bar","average","TRUE","TRUE",TRUE,2,NA
"212",212,4,5507,54.4761213,"no","casual",NA,NA,NA,"TRUE",FALSE,1,NA
"213",213,3,2682,74.57121551,"no","casual","none","average","TRUE","TRUE",TRUE,2,NA
"214",214,4,2708,147.7104874,"no","casual","none","average","TRUE","TRUE",FALSE,2,NA
"215",215,5,6243,240.2691014,NA,NA,NA,NA,"FALSE","TRUE",TRUE,NA,NA
"216",216,4.5,3609,27.70850651,"free",NA,NA,NA,"None","TRUE",NA,NA,NA
"217",217,3,2125,470.5882353,"free","casual","full_bar","average","TRUE","TRUE",FALSE,2,NA
"218",218,4,1741,516.9442849,"no","casual","full_bar","average","TRUE","TRUE",FALSE,2,"no"
"219",219,4,2094,764.0878701,"free",NA,"full_bar","average","TRUE","TRUE",NA,NA,NA
"220",220,2.5,7937,226.7859393,NA,NA,NA,NA,NA,"TRUE",NA,2,NA
"221",221,5,4998,40.0160064,"free","casual","none","average","TRUE","TRUE",TRUE,1,NA
"222",222,3,3478,287.5215641,"free","casual","none",NA,"FALSE","TRUE",TRUE,1,NA
"223",223,3.5,2659,0,"no","casual","none","average","TRUE","TRUE",TRUE,1,NA
"224",224,3,3611,553.8631958,"free","casual","none","average","FALSE","TRUE",TRUE,1,NA
"225",225,4,2682,74.57121551,"no","casual","none","average","FALSE","TRUE",FALSE,2,NA
"226",226,3.5,1781,0,"free","casual","full_bar","average","FALSE","TRUE",TRUE,2,NA
"227",227,4,2742,72.93946025,"free","casual","none","quiet","FALSE","TRUE",TRUE,2,NA
"228",228,4.5,1643,608.6427267,"no","casual","none","average","TRUE","FALSE",TRUE,1,NA
"229",229,3,3611,553.8631958,"free","casual","full_bar","average","TRUE","TRUE",TRUE,2,NA
"230",230,4,2682,74.57121551,"free","casual","full_bar","average","FALSE","FALSE",TRUE,2,NA
"231",231,4.5,3142,159.1343094,"no",NA,"none",NA,"FALSE","TRUE",NA,NA,NA
"232",232,3.5,4077,24.5278391,"free","casual","full_bar","average","TRUE","TRUE",TRUE,2,NA
"233",233,2.5,2924,34.1997264,"free","casual","full_bar","average","FALSE","TRUE",TRUE,2,NA
"234",234,3.5,3609,27.70850651,NA,"casual","full_bar","average","TRUE","FALSE",FALSE,3,NA
"235",235,3,5129,19.49697797,"no","casual",NA,NA,"FALSE","FALSE",TRUE,1,NA
"236",236,2.5,504,595.2380952,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"237",237,4,3478,287.5215641,"free","casual","full_bar","average","TRUE","TRUE",TRUE,2,"no"
"238",238,4.5,2708,147.7104874,"free","casual","none","average","FALSE","FALSE",TRUE,2,"no"
"239",239,4,2603,38.41721091,"no","casual","full_bar","average","TRUE","TRUE",TRUE,2,NA
"240",240,4,2659,0,"no","casual","none","average","TRUE","TRUE",FALSE,3,NA
"241",241,4,1781,0,"free","dressy","full_bar","average","FALSE","TRUE",FALSE,3,"no"
"242",242,4,3609,27.70850651,"free","dressy","full_bar","loud","TRUE","TRUE",FALSE,3,"no"
"243",243,3.5,3010,465.1162791,"no","casual","none","average","FALSE","TRUE",TRUE,2,NA
"244",244,3.5,4324,115.6336725,NA,"casual",NA,"loud","TRUE","TRUE",FALSE,2,NA
"245",245,2.5,4259,117.3984503,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"246",246,4.5,3611,553.8631958,NA,"casual",NA,NA,NA,"FALSE",TRUE,1,NA
"247",247,2.5,30,0,"free","casual","full_bar","average","FALSE","FALSE",FALSE,2,"no"
"248",248,4.5,504,595.2380952,"no","casual","full_bar","average","FALSE","TRUE",TRUE,2,NA
"249",249,3,4259,117.3984503,NA,NA,NA,NA,NA,"TRUE",TRUE,NA,NA
"250",250,3.5,2884,312.0665742,"no","casual","beer_and_wine","average","TRUE","TRUE",TRUE,2,NA
"251",251,3,4177,143.6437635,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"252",252,3,13,0,"free","casual","full_bar","loud","FALSE","FALSE",FALSE,2,NA
"253",253,3,3778,0,"free","casual","none","very_loud","TRUE","None",TRUE,2,NA
"254",254,3,1888,0,NA,"casual","none","average","FALSE","TRUE",TRUE,1,NA
"255",255,2,5241,190.8032818,NA,NA,NA,NA,NA,"TRUE",NA,NA,NA
"256",256,4.5,2708,147.7104874,"no",NA,"full_bar",NA,"TRUE","TRUE",NA,NA,"no"
"257",257,4.5,2682,74.57121551,"no","casual","full_bar","average","TRUE","TRUE",TRUE,2,NA
"258",258,4.5,6399,46.88232536,NA,NA,"none","average","TRUE","FALSE",NA,2,NA
"259",259,4.5,2603,38.41721091,NA,NA,NA,NA,"TRUE","TRUE",NA,2,NA
"260",260,2.5,2125,470.5882353,NA,"dressy","full_bar",NA,"FALSE","FALSE",FALSE,3,NA
"261",261,4,2659,0,"free","casual","full_bar","average","TRUE","TRUE",FALSE,2,NA
"262",262,3.5,2708,147.7104874,"free","casual","full_bar",NA,"TRUE","TRUE",TRUE,2,"no"
"263",263,2,4085,465.1162791,NA,"casual",NA,"average","FALSE","TRUE",TRUE,1,NA
"264",264,4.5,2873,104.4204664,"free","casual","full_bar","average","TRUE","TRUE",FALSE,3,NA
"265",265,4.5,4324,115.6336725,NA,NA,NA,NA,NA,"TRUE",TRUE,NA,NA
"266",266,4,6599,45.46143355,NA,"casual","full_bar","average","FALSE","TRUE",FALSE,2,NA
"267",267,3.5,1826,109.5290252,"no","casual","none","average","FALSE","TRUE",TRUE,1,NA
"268",268,1.5,7937,226.7859393,NA,"casual","none","average","FALSE","TRUE",FALSE,1,NA
"269",269,4,2682,74.57121551,"no","casual","full_bar","average","TRUE","TRUE",TRUE,2,"no"
"270",270,3.5,3478,287.5215641,NA,NA,NA,NA,"TRUE","TRUE",NA,2,NA
"271",271,3.5,2504,479.2332268,"free","casual","none",NA,"TRUE","TRUE",TRUE,2,NA
"272",272,4,6040,66.22516556,"free",NA,"none",NA,"FALSE","TRUE",NA,NA,NA
"273",273,3.5,2884,312.0665742,"free","casual","none","average","FALSE","TRUE",TRUE,1,NA
"274",274,3,5766,121.4013181,NA,NA,NA,NA,NA,"TRUE",NA,NA,NA
"275",275,4.5,1741,516.9442849,"free","casual","full_bar","average","TRUE","TRUE",FALSE,3,"no"
"276",276,4,2125,470.5882353,"free",NA,"full_bar","average","FALSE","TRUE",NA,2,NA
"277",277,5,2708,147.7104874,"no","dressy","full_bar","quiet","FALSE","TRUE",FALSE,4,NA
"278",278,4,3503,28.54695975,"no","casual","none","average","TRUE","TRUE",TRUE,1,NA
"279",279,3,5772,0,"no","casual","none","average","FALSE","TRUE",TRUE,2,NA
"280",280,4,2873,104.4204664,"free","casual","full_bar","average","FALSE","TRUE",FALSE,2,"no"
"281",281,3.5,2125,470.5882353,"free","casual","full_bar","loud","TRUE","TRUE",TRUE,2,"no"
"282",282,3,1741,516.9442849,"no","casual","none","average","TRUE","TRUE",TRUE,1,NA
"283",283,1.5,5,0,NA,"casual","none",NA,"FALSE","TRUE",FALSE,1,NA
"284",284,3.5,3609,27.70850651,NA,"casual","full_bar",NA,"TRUE","FALSE",FALSE,2,NA
"285",285,4.5,3478,287.5215641,"free","casual","full_bar","average","FALSE","TRUE",TRUE,2,"no"
"286",286,3,3478,287.5215641,"no","casual","full_bar","average","TRUE","FALSE",TRUE,3,NA
"287",287,2.5,3478,287.5215641,"free","casual","full_bar","average","TRUE","TRUE",FALSE,2,NA
